"","JSE:AMS","JSE:EXX","JSE:FSR","JSE:KIO","JSE:MTN","JSE:NPN","JSE:INL","JSE:SBK","JSE:SOL","JSE:ARI","JSE:ABSP","JSE:SLM","JSE:SHP","JSE:REM","JSE:NED","JSE:APN","JSE:BVT","JSE:ANG","JSE:WHL","JSE:TBS"
"2007-01-03",-0.0212272121305741,-0.00888894741724577,-0.021868753054302,-0.0429287307183763,-0.0155412572112112,0,-0.0142007498587287,-0.0229404565296072,-0.0398991706138112,-0.0347253597749955,-1.08577043569369e-05,-0.000526454342246296,-0.00966191091173663,-0.00765635386199293,0,-0.00469264117819357,-0.00892963574366945,-0.0240975515790609,-0.0129106480372583,-0.00291121020745777
"2007-01-04",-0.03764864794611,-0.0163834792505249,-0.0261330783979137,-0.00872290653634522,-0.0151747980192365,0.0147713173203119,-0.010813403422004,-0.0234791020254885,-0.0324022233287007,-0.0460638951523258,5.42873429196788e-05,-0.0100556549882906,0.00580834159574639,-0.0296994326817757,-0.00189214815203798,-0.0148478481944903,0.00376166558522684,-0.0206383422623304,-0.00623408083031673,-0.0087848295557329
"2007-01-05",-0.00247831601446791,-0.0199841649203503,0.0307286747212512,-0.0269074529199251,-0.0116888442503118,-0.00299568493289293,0.00806363083693462,0.0109891215755962,-0.00999175673191921,-0.00757989552276861,0.00103089995836747,0.0132102317368066,0,-0.0038782514234672,0.00754720563538314,0.000636334733529864,-0.00746187747174609,-0.0118974477890674,0.000568343294639284,-0.0041261479111725
"2007-01-08",0.00377697733918936,0,0.0181740576927982,0.0081485285639058,0.0147422817372025,-0.0207443023701792,0.00389328328714988,0.0103289855516575,-0.00041849759974788,-0.0219789067187754,-0.00108518730128715,0.0135559948677129,0,-0.00560887079283745,-0.00754720563538314,0.000318015585444087,-0.00189315114662136,0.0167100007397298,0.00566573753567745,-0.018179609603127
"2007-01-09",-0.0112489921778902,0,0.0392899796214117,0.000901306956011538,-0.00672991221619945,-0.00965607985494543,0.0056980211146378,0.0558475375901519,-0.0209376370195375,-0.00557104504945549,-0.00108636621222047,0.0300966352900236,0.00192864090640565,0.0135256398938868,0.00754720563538314,0.00444163166754485,0.00709972770753176,0.00820536407044337,0.0168071183163816,0.0104712998672962
"2007-01-10",0.0173486383346138,-0.0281708769666977,-0.0152674721307884,-0.00723330459351956,-0.013597242864531,-0.0364350273453216,-0.0218274030445222,-0.00780451691990258,-0.0128195853541584,-0.0169018108026027,0,-0.0213314335160577,-0.00540959588137468,-0.00439046512373054,-0.0189759014590063,-0.00922251726788659,-0.0149375336873625,-0.00770990064718369,0,-0.0119761910467151
"2007-01-11",-0.00307597904789425,-0.0143887374520979,-0.00440529346791596,-0.00318109788819498,0.023979015499501,0.00907816533563377,0.0172715865086612,0,-0.00420852303487251,-0.0212468515042694,0.00433840159859855,0.00102616735531225,0.00733452429095927,0.0113753596456814,0.0110498361865847,0.0015961695328226,0.0171928345981982,0.00429403974552223,0.00277392688272471,0.0143543134516815
"2007-01-12",0.046351962529716,0.0143887374520979,-0.00220994565080357,-0.0253528213769165,0.0138765424248213,-0.0103368187428305,0.0102215540715367,0,-0.00431363820010944,0.0325464067582022,-0.00433840159859855,0.0152674721307884,-0.00192492840958458,0.00808785460169936,0.00189286446825321,-0.00351494210744541,0.0078537372160401,-0.00739472127845353,0.0110193952496109,0.00710062154957747
"2007-01-15",0.0527040634905678,0.0123049351903806,0.0218827112495079,0.0175849047754415,0.0225127991326044,0.0137588161714284,0.0190268750546956,0.0255471631236883,0.0168435061672092,0.0106175906644026,0,-0.00252844635335858,-0.00929158833409982,0.00115008638323744,0.0210329223515693,-0.00128123015604764,0.0177231045736104,0.0126214818324701,0.0312862626405606,0.0241747610870977
"2007-01-16",0.0166024842850288,0.0158659417763172,0.0171678036223657,0.00457666702741122,-0.004109192750132,0.0365894474322914,0.00883007944827163,0.00989958587205919,-0.0188541721125421,-0.0141068170081819,-0.00217627942259568,-0.00253485560318811,0.00155460583194778,0.0113718760275905,0.0233530615644142,0.00320000273067045,0.0144608849215579,-3.06659102431439e-05,0.024653753241779,0.0174016657586424
"2007-01-17",-0.0166024842850288,0.00554018037561477,0,-0.00457666702741122,-0.00708385488840513,0,-0.00142959280959509,0,-0.0205554811730444,-0.0215405217220557,-1.08933055198435e-05,0,0.0119669445869537,0.00510089521329604,0.00541224485494318,0.00318979536810104,0,0.00587067883924774,0.0430991924818516,-0.00396713470138188
"2007-01-18",-0.00784317746102481,0.0326115855887608,0.0135251427770404,0.0316053394153304,0.0104898127291069,0.0265894541892404,0.0123586633417858,0.0245712607305055,0.0348910872327615,0.00459770924862823,0.00218717272811553,-0.000507743092908797,0.00840662191971031,0.0118577353853393,0.021712901412748,0.0341244567668006,0,0.0196226787633655,0.0172205977516704,0.00226886087119027
"2007-01-19",-0.026789860897642,0.0350298513292149,-0.0268044126597138,0.00443459706786697,-0.0320475338040858,-0.0087848295557329,-0.0331522073169008,-0.0343703592387676,-0.0210965414629296,0,0,-0.0127780936187412,0.0139809569954439,0,-0.0213531244705685,0.00766522226197885,-0.021659916967824,-0.0381462853261016,-0.0172205977516704,-0.0240837328394683
"2007-01-22",0.0166145328559892,0.0371664398752749,0.0196419636705016,-0.00888894741724755,0,0.0160470255975174,0.0111733005981254,0.0157514970355574,0.0165574652594049,0.0260342943658767,0,0.00819676720417828,0.013418017192671,0.00278940208757739,0.0178257839526008,0.0175602453556536,-0.0054705540437272,0.00930469316819504,0.00445655602657347,0.00121806227176968
